age,marital_status,education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped
29,married,Associate Certification,Female,27,<15 kms,Internal Referrals,8,05-12-2015,29-02-2016,24,3,Lateral,Yes,5,No,Yes
37,married,Associate Degree,Female,22,<15 kms,Consultants,8,03-09-2015,18-12-2015,20,8,Lateral,Yes,13,No,Yes
28,married,Associate Certification,Female,32,<15 kms,Internal Referrals,8,17-12-2015,24-03-2016,23,4,Lateral,Yes,4,No,Yes
44,married,Associate Certification,Female,27,> 20 kms,Job Portals,9,12-11-2015,20-02-2016,26,6,Lateral,Yes,20,No,Yes
32,married,Bachelor Degree,Female,28,15-20 kms,Company Website,3,13-02-2016,08-05-2016,53,8,Vertical,Yes,8,No,No
44,married,Bachelor Degree,Female,34,> 20 kms,Social Media,9,14-03-2016,28-05-2016,30,7,Lateral,Yes,20,No,Yes
27,married,Bachelor Degree,Female,22,<15 kms,Consultants,3,19-08-2015,25-11-2015,47,5,Vertical,No,6,Yes,No
34,married,Associate Degree,Female,19,15-20 kms,Social Media,3,07-03-2015,13-06-2015,74,6,Lateral,No,10,No,No
33,single,Master Degree,Female,18,> 20 kms,Job Portals,10,16-06-2015,09-10-2015,18,8,Lateral,Yes,9,No,Yes
42,single,Associate Degree,Female,16,> 20 kms,Job Portals,6,07-12-2015,13-01-2016,88,8,Vertical,Yes,18,Yes,No
38,married,Associate Degree,Female,16,<15 kms,Social Media,10,09-04-2015,10-07-2015,20,5,Lateral,Yes,14,No,Yes
33,single,Bachelor Degree,Female,38,> 20 kms,Consultants,4,21-03-2016,11-05-2016,31,4,Vertical,Yes,9,No,No
35,single,Associate Certification,Female,40,> 20 kms,Internal Referrals,9,17-03-2015,19-06-2015,23,5,Lateral,Yes,11,No,Yes
25,divorced,Associate Certification,Female,40,> 20 kms,Social Media,9,14-11-2015,26-02-2016,28,1,Lateral,Yes,1,No,Yes
32,married,Bachelor Degree,Female,16,> 20 kms,Consultants,9,06-10-2015,10-01-2016,17,8,Lateral,Yes,8,No,Yes
35,married,Bachelor Degree,Female,25,<15 kms,Consultants,9,09-02-2016,08-06-2016,15,4,Lateral,Yes,11,No,Yes
37,married,Bachelor Degree,Female,28,<15 kms,Social Media,8,20-12-2015,18-03-2016,22,4,Lateral,Yes,13,No,Yes
25,married,Associate Certification,Female,35,15-20 kms,Company Website,7,07-10-2015,09-12-2015,66,1,Lateral,No,1,Yes,No
